Edges,Triangles,Count
0,0,1
1,0,45
2,0,990
3,0,14070
3,1,120
4,0,143955
4,1,5040
5,0,1119699
5,1,100800
5,2,1260
6,0,6823110
6,1,1266720
6,2,55020
6,4,210
7,0,33117930
7,1,11125800
7,2,1110060
7,3,17640
7,4,8190
8,0,129059865
8,1,71951040
8,2,13664700
8,3,718200
8,4,151830
8,5,7560
9,0,404512735
9,1,351961680
9,2,114126600
9,3,13258000
9,4,2020200
9,5,281400
9,7,2520
10,0,1016576694
10,1,1318626000
10,2,680320620
10,3,146059200
10,4,23436000
10,5,4891320
10,6,189000
10,7,88200
10,10,252
11,0,2033724420
11,1,3793928040
11,2,2965685940
11,3,1063843200
11,4,229927320
11,5,55581120
11,6,6312600
11,7,1461600
11,8,122850
11,10,8820
12,0,3204387270
12,1,8343073200
12,2,9533981520
12,3,5363754480
12,4,1716185730
12,5,479167080
12,6,96681900
12,7,18711000
12,8,3849825
12,9,37800
12,10,179340
12,11,12600
13,0,3923374140
13,1,13869883440
13,2,22537197900
13,3,19059503400
13,4,9178178310
13,5,3239293680
13,6,924860160
13,7,210180600
13,8,56244825
13,9,4573800
13,10,2503620
13,11,393120
13,12,9450
13,13,12600
14,0,3677867280
14,1,17151830640
14,2,38711263500
14,3,47736523800
14,4,34299783000
14,5,16515414720
14,6,6226247160
14,7,1856712240
14,8,553848750
14,9,106394400
14,10,26929980
14,11,7502040
14,12,636300
14,13,378000
14,16,3150
15,0,2604540840
15,1,15463568400
15,2,47395756800
15,3,83160100800
15,4,87919513500
15,5,60204493440
15,6,30312172800
15,7,11988919800
15,8,4181935800
15,9,1224295800
15,10,294191184
15,11,96570600
15,12,14412510
15,13,6178200
15,14,680400
15,16,94500
15,20,210
16,0,1384388820
16,1,9945996480
16,2,40356625680
16,3,98401224600
16,4,150724361340
16,5,149580141480
16,6,104009203620
16,7,55095241320
16,8,24002300700
16,9,9077475960
16,10,2828130480
16,11,906534720
16,12,221132520
16,13,73558800
16,14,17540460
16,15,786240
16,16,1597050
16,17,176400
16,20,6300
17,0,557749395
17,1,4478468400
17,2,23280362280
17,3,76637473920
17,4,167008441320
17,5,241119650520
17,6,239538568500
17,7,173860825320
17,8,99465733305
17,9,47497889880
17,10,19346172300
17,11,7002878400
17,12,2269267560
17,13,705441240
17,14,239808240
17,15,36862560
17,16,17892000
17,17,4611600
17,18,201600
17,19,214200
17,20,78750
17,21,12600
18,0,176589840
18,1,1399149360
18,2,8918834400
18,3,37979991000
18,4,114691319610
18,5,238901942160
18,6,346278267720
18,7,357408878400
18,8,278695024650
18,9,173981884440
18,10,90996126480
18,11,41302171680
18,12,16264514350
18,13,5845068600
18,14,2181380880
18,15,595876680
18,16,182563290
18,17,69174000
18,18,9601200
18,19,5140800
18,20,537600
18,21,386400
18,22,54600
18,23,16800
19,0,46501560
19,1,306122040
19,2,2269171800
19,3,11676722400
19,4,46820592000
19,5,137081412720
19,6,290961011880
19,7,440701306920
19,8,490394403450
19,9,418285526400
19,10,288150481080
19,11,167459571720
19,12,84126250530
19,13,36634764600
19,14,14981771700
19,15,5673192840
19,16,1842111810
19,17,683716320
19,18,177609600
19,19,69539400
19,20,13497750
19,21,4800600
19,22,1669500
19,23,403200
19,25,12600
19,26,12600
20,0,10626840
20,1,47733840
20,2,399200760
20,3,2234862000
20,4,11046142800
20,5,43314306840
20,6,130869915120
20,7,294615669600
20,8,487008328275
20,9,600360503400
20,10,572182453080
20,11,441869039640
20,12,287171094420
20,13,161056350000
20,14,79189141500
20,15,35508929400
20,16,14422802625
20,17,5548223520
20,18,2004174900
20,19,690757200
20,20,233108946
20,21,48888000
20,22,30214800
20,23,6829200
20,24,926100
20,25,302400
20,26,302400
20,30,2520
21,0,2113560
21,1,5014800
21,2,52424820
21,3,284495400
21,4,1526842800
21,5,7360990560
21,6,29695202460
21,7,96196116240
21,8,239288931000
21,9,447670850760
21,10,631141922040
21,11,688327766280
21,12,606501606060
21,13,446785399200
21,14,282908699880
21,15,157787572320
21,16,78614185860
21,17,35312673480
21,18,14885898300
21,19,5842963560
21,20,2367013320
21,21,665901000
21,22,305421900
21,23,87918600
21,24,25795350
21,25,7119000
21,26,4132800
21,27,718200
21,30,60480
21,35,120
22,0,347760
22,1,277200
22,2,5065200
22,3,27747720
22,4,133660800
22,5,712257840
22,6,3362013900
22,7,14428701360
22,8,51512736240
22,9,146937939120
22,10,322034031900
22,11,538061617800
22,12,693624084930
22,13,713721967560
22,14,607631839560
22,15,441192747240
22,16,280870830450
22,17,158339721960
22,18,80198361180
22,19,37130224320
22,20,16139408040
22,21,6607593000
22,22,2527755300
22,23,1013657400
22,24,330400350
22,25,110176920
22,26,40030200
22,27,16077600
22,28,2384550
22,29,1008000
22,30,544320
22,31,151200
22,35,2880
23,0,42840
23,2,277200
23,3,2331000
23,4,8127000
23,5,42890400
23,6,223544160
23,7,1006160400
23,8,4690841400
23,9,18572311800
23,10,62779198860
23,11,166450321800
23,12,342832190400
23,13,543499034400
23,14,678744816300
23,15,686374267320
23,16,584310681360
23,17,429968410200
23,18,279179264700
23,19,162025781400
23,20,84625936290
23,21,40568948640
23,22,17897985000
23,23,7897100400
23,24,3036341700
23,25,1288266840
23,26,430252200
23,27,176563800
23,28,57320550
23,29,18156600
23,30,3551940
23,31,3714480
23,32,472500
23,33,226800
23,35,25560
23,36,7560
24,0,3360
24,3,126000
24,4,516600
24,5,1338120
24,6,9553320
24,7,43545600
24,8,199659600
24,9,937192200
24,10,4177273800
24,11,16580932200
24,12,55265565600
24,13,145257025200
24,14,297391342500
24,15,473354955360
24,16,597377242665
24,17,617244906600
24,18,538379723700
24,19,409821883800
24,20,277008720870
24,21,167079575880
24,22,91150307400
24,23,45422559000
24,24,21062065500
24,25,9351397440
24,26,3890434380
24,27,1593576600
24,28,696515400
24,29,236355000
24,30,71811180
24,31,32976720
24,32,11666025
24,33,3969000
24,34,365400
24,35,325920
24,36,329610
24,38,12600
25,0,126
25,4,28350
25,5,37800
25,6,152460
25,7,1209600
25,8,5688900
25,9,22289400
25,10,119442960
25,11,529169760
25,12,2437000020
25,13,10049848200
25,14,35161131600
25,15,96880512960
25,16,209498064930
25,17,351690436440
25,18,469316773800
25,19,510756031800
25,20,470065477140
25,21,376890937920
25,22,268503291000
25,23,171811117800
25,24,98916459075
25,25,51676017120
25,26,25405030980
25,27,11433328200
25,28,4998089250
25,29,2223522000
25,30,923835780
25,31,323643600
25,32,161314965
25,33,45511200
25,34,16795800
25,35,4009320
25,36,4079250
25,37,189000
25,38,233100
25,39,75600
25,40,40320
25,41,12600
26,5,2520
26,8,110250
26,9,352800
26,10,1512000
26,11,7686000
26,12,40625550
26,13,182019600
26,14,876342600
26,15,3934700280
26,16,15296348340
26,17,47213235720
26,18,114338435400
26,19,214458418440
26,20,317349722340
26,21,378097962480
26,22,377417415060
26,23,326400883200
26,24,249408790470
26,25,171432434880
26,26,105538266540
26,27,59520540240
26,28,30619631700
26,29,14422161600
26,30,6638433480
26,31,3032847720
26,32,1244963160
